urba_club_id,nombre_institucion,nombre_equipo,sufijo,categoria,divisiones,anios,veces,g22_club_id,g22_nombre,g22_union,estado,confianza
43,SITAS,SITAS,,femenino,FEMENINO - Primera División | Femenino - Campeonato 12 | Femenino - Campeonato 12 - Clasificación | Femenino - Campeonato 12 - Revancha | Femenino - Campeonato 12 - Zona A | Femenino - Intermedia | Femenino - Primera  B | Femenino - Ten - Zona A | Femenino - Zona Campeonato - Segunda Rueda,2021 2022 2023 2024 2025 2026,9,sitas,SITAS,urba,existe,exacto
72,Tigre,Tigre,,femenino,FEMENINO - Primera División | Femenino - Primera  B | Femenino - SEVEN - Desarrollo - Segunda Rueda | Femenino - Seven - Zona B,2021 2025 2026,4,,,,club_no_existe,ninguna
62,Tiro Federal de San Pedro,Tiro Federal de San Pedro,,femenino,Femenino - SEVEN - Campeonato - Segunda Rueda | Femenino - Seven - Clasificación | Femenino - Seven - Revancha A | Femenino - Seven - Zona B,2021 2022,4,,,,club_no_existe,ninguna
106,Univ. Nac de la Matanza,Univ. De la Matanza,,femenino,FEMENINO - Primera División,2026,1,,,,club_no_existe,ninguna
95,Univ. Nac de la Plata,Univ. Nac de la Plata,,femenino,Femenino - Campeonato 12,2024,1,,,,club_no_existe,ninguna
29,Universitario de la Plata,Universitario de La Plata,,femenino,FEMENINO - Segunda División | Femenino - SEVEN - Campeonato - Segunda Rueda | Femenino - Seven - Clasificación | Femenino - Seven - Revancha B,2021 2022 2026,4,universitario-de-la-plata,Universitario de La Plata,urba,existe,exacto
94,UTN Haedo,UTN Haedo,,femenino,Femenino - Campeonato 12 | Femenino - SEVEN - Desarrollo - Segunda Rueda | Femenino - Seven - Clasificación | Femenino - Seven - Revancha A | Femenino - Seven - Zona B | Femenino - Ten - Primera rueda | Femenino - Ten - Revancha | Femenino - Ten - Segunda rueda,2021 2022 2023 2024,8,,,,club_no_existe,ninguna
77,Vicente Lopez,Vicente Lopez,,femenino,FEMENINO - Segunda División | Femenino - Campeonato 12 | Femenino - SEVEN - Desarrollo - Segunda Rueda | Femenino - Seven - Clasificación | Femenino - Seven - Revancha B | Femenino - Seven - Zona A | Femenino - Ten - Primera rueda | Femenino - Ten - Revancha | Femenino - Ten - Segunda rueda,2021 2022 2023 2024 2026,9,,,,club_no_existe,ninguna
121,Aguiluchos Rugby,Aguiluchos Rugby,,formativo,Formativo - Primera Rueda - Campeonato | Formativo - Primera Rueda - Campeonato A | Formativo - Rueda Final - Campeonato B | Formativo - Segunda Rueda - Campeonato | Rugby Formativo - Campeonato,2024 2025 2026,5,,,,club_no_existe,ninguna
109,Banco Central,Banco Central,,formativo,Formativo - Primera Rueda - Campeonato B | Formativo - Primera Rueda - Desarrollo | Formativo - Rueda Final - Campeonato B | Formativo - Segunda Rueda - Ascenso | Rugby Formativo - Primera Division,2024 2025 2026,5,,,,club_no_existe,ninguna
126,Blue XV,Blue XV,,formativo,Formativo - Primera Rueda - Campeonato | Formativo - Primera Rueda - Campeonato B | Formativo - Segunda Rueda - Campeonato,2024 2025,3,,,,club_no_existe,ninguna
118,Camioneros R.C.,Camioneros R.C.,,formativo,Formativo - Primera Rueda - Campeonato | Formativo - Primera Rueda - Desarrollo B | Formativo - Rueda Final - Desarrollo B | Formativo - Segunda Rueda - Permanencia,2024 2025,4,,,,club_no_existe,ninguna
111,Cardales Rugby,Cardales Rugby,,formativo,Formativo - Primera Rueda - Desarrollo | Formativo - Segunda Rueda - Ascenso,2024,2,,,,club_no_existe,ninguna
114,Ciervos Pampas,Ciervos Pampas,,formativo,Formativo - Primera Rueda - Desarrollo B | Formativo - Rueda Final - Desarrollo B | Rugby Formativo - Primera Division,2025 2026,3,,,,club_no_existe,ninguna
125,CIRFAA Patriotas Rugby,Patriotas Rugby,,formativo,Formativo - Primera Rueda - Campeonato | Formativo - Primera Rueda - Campeonato A | Formativo - Rueda Final - Campeonato B | Formativo - Segunda Rueda - Permanencia | Rugby Formativo - Campeonato,2024 2025 2026,5,,,,club_no_existe,ninguna
131,Dorrego Rugby,Dorrego Rugby,,formativo,Formativo - Primera Rueda - Campeonato B | Formativo - Rueda Final - Campeonato A | Rugby Formativo - Campeonato,2025 2026,3,,,,club_no_existe,ninguna
112,Elaion,Elaion,,formativo,Formativo - Primera Rueda - Desarrollo | Formativo - Segunda Rueda - Ascenso,2024,2,,,,club_no_existe,ninguna
108,Ensenada,Ensenada,,formativo,Formativo - Primera Rueda - Desarrollo | Formativo - Primera Rueda - Desarrollo A | Formativo - Rueda Final - Desarrollo A | Formativo - Segunda Rueda - Ascenso | Rugby Formativo - Primera Division,2024 2025 2026,5,,,,club_no_existe,ninguna
122,Espartanos,Espartanos,,formativo,Formativo - Primera Rueda - Campeonato | Formativo - Primera Rueda - Campeonato B | Formativo - Rueda Final - Campeonato A | Formativo - Segunda Rueda - Permanencia | Rugby Formativo - Campeonato,2024 2025 2026,5,,,,club_no_existe,ninguna
133,Handoff Rugby,Handoff Rugby,,formativo,Formativo - Primera Rueda - Desarrollo B | Formativo - Rueda Final - Desarrollo B | Rugby Formativo - Primera Division,2025 2026,3,,,,club_no_existe,ninguna
110,Ivem,IVEM (Picapiedras),,formativo,Formativo - Primera Rueda - Desarrollo | Formativo - Segunda Rueda - Desarrollo,2024,2,,,,club_no_existe,ninguna
208,Lomas Social,Lomas Social,,formativo,Rugby Formativo - Primera Division,2026,1,,,,club_no_existe,ninguna
113,Malvinas Argentinas,Malvinas Argentinas,,formativo,Formativo - Primera Rueda - Campeonato A | Formativo - Primera Rueda - Desarrollo | Formativo - Rueda Final - Campeonato B | Formativo - Segunda Rueda - Ascenso | Rugby Formativo - Campeonato,2024 2025 2026,5,,,,club_no_existe,ninguna
124,Manzanares R.C.,Manzanares R.C.,,formativo,Formativo - Primera Rueda - Campeonato | Formativo - Primera Rueda - Campeonato A | Formativo - Rueda Final - Campeonato A | Formativo - Segunda Rueda - Campeonato | Rugby Formativo - Campeonato,2024 2025 2026,5,,,,club_no_existe,ninguna
115,Ministerio de Seguridad CABA,Ministerio de Seguridad CABA,,formativo,Formativo - Primera Rueda - Desarrollo | Formativo - Segunda Rueda - Desarrollo,2024,2,,,,club_no_existe,ninguna
123,Municipalidad de Avellaneda,Municipalidad de Avellaneda,,formativo,Formativo - Primera Rueda - Campeonato | Formativo - Primera Rueda - Desarrollo A | Formativo - Segunda Rueda - Permanencia | Rugby Formativo - Campeonato,2024 2025 2026,4,,,,club_no_existe,ninguna
119,Municipalidad de Moreno,Municipalidad de Moreno,,formativo,Formativo - Primera Rueda - Campeonato | Formativo - Primera Rueda - Campeonato B | Formativo - Rueda Final - Campeonato A | Formativo - Segunda Rueda - Campeonato,2024 2025,4,,,,club_no_existe,ninguna
93,Municipio de Avellaneda,Municipalidad de Avellaneda,,formativo,Formativo - Rueda Final - Desarrollo B,2025,1,,,,club_no_existe,ninguna
120,New Lions R.C.,New Lions R.C.,,formativo,Formativo - Primera Rueda - Campeonato | Formativo - Primera Rueda - Campeonato A | Formativo - Rueda Final - Campeonato B | Formativo - Segunda Rueda - Campeonato | Rugby Formativo - Campeonato,2024 2025 2026,5,,,,club_no_existe,ninguna
128,Old Bankers,Old Bankers,,formativo,Formativo - Primera Rueda - Desarrollo A | Formativo - Rueda Final - Desarrollo A | Rugby Formativo - Campeonato,2025 2026,3,,,,club_no_existe,ninguna
211,Policia de la Ciudad,Policía de la Ciudad,,formativo,Rugby Formativo - Primera Division,2026,1,,,,club_no_existe,ninguna
134,Policias de la Ciudad,Policias de la Ciudad,,formativo,Formativo - Primera Rueda - Desarrollo B | Formativo - Rueda Final - Desarrollo A,2025,2,,,,club_no_existe,ninguna
129,Ruda Macho,Ruda Macho,,formativo,Formativo - Primera Rueda - Desarrollo A | Formativo - Rueda Final - Desarrollo A | Rugby Formativo - Primera Division,2025 2026,3,,,,club_no_existe,ninguna
132,Suipacha,Suipacha,,formativo,Formativo - Primera Rueda - Desarrollo B | Formativo - Rueda Final - Desarrollo B | Rugby Formativo - Campeonato,2025 2026,3,,,,club_no_existe,ninguna
117,Tehuelches,Tehuelches,,formativo,Formativo - Primera Rueda - Desarrollo | Formativo - Segunda Rueda - Desarrollo,2024,2,,,,club_no_existe,ninguna
130,Tizal,Tizal ,,formativo,Formativo - Primera Rueda - Desarrollo A | Formativo - Rueda Final - Desarrollo A,2025,2,,,,club_no_existe,ninguna
116,Univ. Nac de Quilmes,Univ. Nac de Quilmes,,formativo,Formativo - Primera Rueda - Desarrollo | Formativo - Primera Rueda - Desarrollo A | Formativo - Rueda Final - Desarrollo A | Formativo - Segunda Rueda - Desarrollo,2024 2025,4,,,,club_no_existe,ninguna
61,Albatros,Albatros,,intermedia,SEGUNDA - Intermedia | Segunda - Intermedia | Tercera - Intermedia,2022 2023 2024 2025 2026,5,,,,club_no_existe,ninguna
