prioridad,tipo,urba_club_id,nombre,categoria,sufijo,union_id,sport,logo_url,id_sugerido,institucion_padre_urba_id,anios,veces,motivo
1,institucion,209,Omar Etcheverry,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/omaretcheverry.png,omar-etcheverry,,2021 2022 2023,5,no existe en el padrón
1,institucion,85,Pac General Rodriguez,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/pacgeneralrodriguez.png,pac-general-rodriguez,,2021 2022 2023 2024 2025 2026,30,no existe en el padrón
1,institucion,210,Pacific Shark,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/pacificshark.png,pacific-shark,,2021 2022 2023,5,no existe en el padrón
1,institucion,211,Policia de la Ciudad,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/policiadelaciudad.png,policia-de-la-ciudad,,2021 2022 2023 2026,4,no existe en el padrón
1,institucion,134,Policias de la Ciudad,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/policiadelaciudad.png,policias-de-la-ciudad,,2025,2,no existe en el padrón
1,institucion,70,Porteño,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/porteño.png,porteno,,2021 2022 2023 2024 2025 2026,50,no existe en el padrón
1,institucion,212,Rectificación Parra Pilar,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/rectificaciónparrapilar.png,rectificacion-parra-pilar,,2021 2022,3,no existe en el padrón
1,institucion,213,RESTA,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/resta.png,resta,,2021 2022 2023,4,no existe en el padrón
1,institucion,88,Rivadavia de Lobos,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/rivadaviadelobos.png,rivadavia-de-lobos,,2021 2022 2023 2024 2025 2026,22,no existe en el padrón
1,institucion,214,Robles Campos,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/roblescampos.png,robles-campos,,2021 2022,3,no existe en el padrón
1,institucion,129,Ruda Macho,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/rudamacho.png,ruda-macho,,2025 2026,3,no existe en el padrón
1,institucion,57,San Marcos,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/sanmarcos.png,san-marcos,,2021 2022 2023 2024 2025 2026,40,no existe en el padrón
1,institucion,215,SATSAID,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/satsaid.png,satsaid,,2021 2022 2023,4,no existe en el padrón
1,institucion,81,Sociedad Hebraica,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/sociedadhebraica.png,sociedad-hebraica,,2021 2022 2023 2024 2025 2026,20,no existe en el padrón
1,institucion,132,Suipacha,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/suipacha.png,suipacha,,2025 2026,3,no existe en el padrón
1,institucion,216,Tactical Lacsi,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/tacticallacsi.png,tactical-lacsi,,2021,1,no existe en el padrón
1,institucion,117,Tehuelches,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/tehuelches.png,tehuelches,,2024,2,no existe en el padrón
1,institucion,217,Telnet Soluciones,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/telnetsoluciones.png,telnet-soluciones,,2022 2023,3,no existe en el padrón
1,institucion,218,TEQNA,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/teqna.png,teqna,,2021,1,no existe en el padrón
1,institucion,72,Tigre,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/tigre.png,tigre,,2021 2022 2023 2024 2025 2026,57,no existe en el padrón
1,institucion,69,Tiro Federal de Baradero,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/tirofederaldebaradero.png,tiro-federal-de-baradero,,2021 2022 2023 2024 2025 2026,27,Tiro Federal de Baradero no es Tiro Federal Salta
1,institucion,62,Tiro Federal de San Pedro,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/tirofederaldesanpedro.png,tiro-federal-de-san-pedro,,2021 2022 2023 2024 2025 2026,47,no existe en el padrón
1,institucion,130,Tizal,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/tizal.png,tizal,,2022 2023 2025,5,no existe en el padrón
1,institucion,100,UBA Agronomia,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/ubaagronomia.png,uba-agronomia,,2021 2022 2023 2024 2025 2026,15,no existe en el padrón
1,institucion,219,UBA Escuela Tecnica,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/ubaescuelatecnica.png,uba-escuela-tecnica,,2021 2022,4,no existe en el padrón
1,institucion,101,UBA Ingenieria,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/ubaingenieria.png,uba-ingenieria,,2021 2022 2023 2024 2025 2026,12,no existe en el padrón
1,institucion,102,UBA Medicina,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/ubamedicina.png,uba-medicina,,2021 2022 2023 2024 2025 2026,10,no existe en el padrón
1,institucion,220,UBA Sociales,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/ubasociales.png,uba-sociales,,2021 2022,3,no existe en el padrón
1,institucion,104,UBA Veterinaria,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/ubaveterinaria.png,uba-veterinaria,,2023 2024 2025,5,no existe en el padrón
1,institucion,96,UCA la Plata,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/ucalaplata.png,uca-la-plata,,2021 2022 2023 2024 2025 2026,11,no existe en el padrón
1,institucion,106,Univ. Nac de la Matanza,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/univnacdelamatanza.png,univ-nac-de-la-matanza,,2021 2022 2023 2024 2025 2026,11,no existe en el padrón
1,institucion,95,Univ. Nac de la Plata,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/unlp.png,univ-nac-de-la-plata,,2021 2022 2023 2024 2025 2026,13,no existe en el padrón
1,institucion,99,Univ. Nac de Lomas,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/univnacdelomas.png,univ-nac-de-lomas,,2022 2023 2024 2025 2026,8,no existe en el padrón
1,institucion,116,Univ. Nac de Quilmes,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/univnacdequilmes.png,univ-nac-de-quilmes,,2022 2023 2024 2025,7,no existe en el padrón
1,institucion,103,Univ. Nac de San Martin,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/univnacdesanmartin.png,univ-nac-de-san-martin,,2021 2022 2023 2024 2025 2026,9,no existe en el padrón
1,institucion,107,UNTREF,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/untref.png,untref,,2021 2022 2023 2024 2025 2026,9,no existe en el padrón
1,institucion,94,UTN Haedo,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/utnhaedo.png,utn-haedo,,2021 2022 2023 2024,15,no existe en el padrón
1,institucion,105,UTN Medrano,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/utnmedrano.png,utn-medrano,,2021 2022 2023 2024 2025 2026,9,no existe en el padrón
1,institucion,68,Varela Jr.,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/varelajr.png,varela-jr,,2021 2022 2023 2024 2025 2026,47,no existe en el padrón
