urba_id,external_id,nombre,anio,division,grado,age_grade,gender,rueda,equipos,partidos,partidos_jugados,has_playoffs,g22_tournament_id,g22_nombre,g22_external_id_otro_proveedor,estado,confianza
2021114,urba:2021114,Primera A - Superior,2021,Primera A,Superior,mayores,masculino,unica,14,94,94,no,,,,sin_verificar,sin_verificar
2021115,urba:2021115,Primera A - Preintermedia B,2021,Primera A,Preintermedia B,mayores,masculino,unica,7,21,21,no,,,,sin_verificar,sin_verificar
2021116,urba:2021116,Primera B - Superior,2021,Primera B,Superior,mayores,masculino,unica,14,94,94,no,,,,sin_verificar,sin_verificar
2021117,urba:2021117,Primera B - Intermedia,2021,Primera B,Intermedia,mayores,masculino,unica,14,91,91,no,,,,sin_verificar,sin_verificar
2021118,urba:2021118,Primera B - Preintermedia A,2021,Primera B,Preintermedia A,mayores,masculino,unica,12,66,66,no,,,,sin_verificar,sin_verificar
2021119,urba:2021119,Primera C - Superior,2021,Primera C,Superior,mayores,masculino,unica,14,94,94,no,,,,sin_verificar,sin_verificar
2021120,urba:2021120,Primera C - Intermedia,2021,Primera C,Intermedia,mayores,masculino,unica,14,91,91,no,,,,sin_verificar,sin_verificar
2021121,urba:2021121,Segunda,2021,Segunda,,mayores,masculino,unica,14,94,94,no,,,,sin_verificar,sin_verificar
2021122,urba:2021122,Tercera - Superior,2021,Tercera,Superior,mayores,masculino,unica,12,69,69,no,,,,sin_verificar,sin_verificar
2021123,urba:2021123,Tercera - Intermedia,2021,Tercera,Intermedia,mayores,masculino,unica,10,43,43,no,,,,sin_verificar,sin_verificar
2021124,urba:2021124,Top 12 - Superior,2021,Top 12,Superior,mayores,masculino,unica,12,66,66,no,,,,sin_verificar,sin_verificar
2021125,urba:2021125,Top 12 - Intermedia - Clasificación,2021,Top 12,Intermedia,mayores,masculino,unica,12,69,69,no,,,,sin_verificar,sin_verificar
2021126,urba:2021126,Top 12 - Intermedia - Zona A - Segunda Rueda,2021,Top 12,Intermedia,mayores,masculino,segunda,6,15,15,no,,,,sin_verificar,sin_verificar
2021127,urba:2021127,Top 12 - Intermedia - Zona B - Segunda Rueda,2021,Top 12,Intermedia,mayores,masculino,segunda,6,15,15,no,,,,sin_verificar,sin_verificar
2021128,urba:2021128,Top 12 - Preintermedia - Clasificación,2021,Top 12,Preintermedia,mayores,masculino,unica,12,66,66,no,,,,sin_verificar,sin_verificar
2021129,urba:2021129,Top 12 - Preintermedia - Semifinal,2021,Top 12,Preintermedia,mayores,masculino,unica,6,16,16,no,,,,sin_verificar,sin_verificar
2021130,urba:2021130,Top 12 - PreIntermedia - Zona A - Segunda Rueda,2021,Top 12,Preintermedia,mayores,masculino,segunda,6,15,15,no,,,,sin_verificar,sin_verificar
2021131,urba:2021131,Top 12 - PreIntermedia - Zona B - Segunda Rueda,2021,Top 12,Preintermedia,mayores,masculino,segunda,11,55,55,no,,,,sin_verificar,sin_verificar
2021132,urba:2021132,Top 12 - Preintermedia B - Clasificación,2021,Top 12,Preintermedia B,mayores,masculino,unica,5,9,9,no,,,,sin_verificar,sin_verificar
2021133,urba:2021133,Top 12 - PreIntermedia B - Zona A - Segunda Rueda,2021,Top 12,Preintermedia B,mayores,masculino,segunda,6,15,15,no,,,,sin_verificar,sin_verificar
2021134,urba:2021134,Top 12 - PreIntermedia B - Zona B - Segunda Rueda,2021,Top 12,Preintermedia B,mayores,masculino,segunda,6,16,16,no,,,,sin_verificar,sin_verificar
2021135,urba:2021135,Top 12 - Superior - Zona A - Segunda Rueda,2021,Top 12,Superior,mayores,masculino,segunda,6,15,15,no,,,,sin_verificar,sin_verificar
2021136,urba:2021136,Top 12 - Superior - Zona B - Segunda Rueda,2021,Top 12,Superior,mayores,masculino,segunda,4,6,6,no,,,,sin_verificar,sin_verificar
2021137,urba:2021137,Universitario - Campeonato A - Segunda Rueda,2021,Universitario,,mayores,masculino,segunda,4,6,6,no,,,,sin_verificar,sin_verificar
2021138,urba:2021138,Universitario - Campeonato B - Segunda Rueda,2021,Universitario,,mayores,masculino,segunda,5,5,5,no,,,,sin_verificar,sin_verificar
2021139,urba:2021139,Universitario - Desarrollo - Segunda Rueda,2021,Universitario,,mayores,masculino,segunda,7,21,21,no,,,,sin_verificar,sin_verificar
2021140,urba:2021140,Universitario - Zona A,2021,Universitario,,mayores,masculino,unica,6,15,15,no,,,,sin_verificar,sin_verificar
2021141,urba:2021141,Universitario - Zona B,2021,Universitario,,mayores,masculino,unica,0,0,0,no,,,,sin_verificar,sin_verificar
2022001,urba:2022001,Desarrollo - Intermedia - Clasificación,2022,Desarrollo,Intermedia,mayores,masculino,unica,10,88,88,no,,,,sin_verificar,sin_verificar
2022002,urba:2022002,Desarrollo - Intermedia - Torneo final A,2022,Desarrollo,Intermedia,mayores,masculino,unica,5,10,10,no,,,,sin_verificar,sin_verificar
2022003,urba:2022003,Desarrollo - Intermedia - Torneo final B,2022,Desarrollo,Intermedia,mayores,masculino,unica,5,6,6,no,,,,sin_verificar,sin_verificar
2022004,urba:2022004,Desarrollo - Superior - Clasificación,2022,Desarrollo,Superior,mayores,masculino,unica,10,89,89,no,,,,sin_verificar,sin_verificar
2022005,urba:2022005,Desarrollo - Superior - Torneo final A,2022,Desarrollo,Superior,mayores,masculino,unica,5,10,10,no,,,,sin_verificar,sin_verificar
2022006,urba:2022006,Desarrollo - Superior - Torneo final B,2022,Desarrollo,Superior,mayores,masculino,unica,5,10,10,no,,,,sin_verificar,sin_verificar
2022007,urba:2022007,Empresarial - Campeonato - Clasificación,2022,Empresarial,,mayores,masculino,unica,9,36,36,no,,,,sin_verificar,sin_verificar
2022008,urba:2022008,Empresarial - Campeonato - Revancha A,2022,Empresarial,,mayores,masculino,unica,5,10,10,no,,,,sin_verificar,sin_verificar
2022009,urba:2022009,Empresarial - Campeonato - Revancha B,2022,Empresarial,,mayores,masculino,unica,4,6,6,no,,,,sin_verificar,sin_verificar
