provider,external_id,club_id_sugerido,urba_club_id,categoria,sufijo,confidence,nivel,etapa_que_lo_crea,urba_institucion,urba_nombre_equipo,anios,veces
urba,124|empresarial|B,manzanares-r-c,124,empresarial,B,exacto,institucion,1,Manzanares R.C.,Manzanares B,2023,1
urba,124|femenino|,manzanares-r-c,124,femenino,"",exacto,institucion,1,Manzanares R.C.,Manzanares,2021 2022,4
urba,124|formativo|,manzanares-r-c,124,formativo,"",exacto,institucion,1,Manzanares R.C.,Manzanares R.C.,2024 2025 2026,5
urba,82|femenino|,marcos-paz,82,femenino,"",exacto,institucion,1,Marcos Paz,Marcos Paz,2021 2022 2023 2024 2025 2026,9
urba,82|intermedia|,marcos-paz,82,intermedia,"",exacto,institucion,1,Marcos Paz,Marcos Paz,2022 2023 2024 2025 2026,6
urba,82|mayores|,marcos-paz,82,mayores,"",exacto,institucion,1,Marcos Paz,Marcos Paz,2021 2022 2023 2024 2025 2026,7
urba,47|intermedia|,mercedes,47,intermedia,"",exacto,institucion,1,Mercedes,Mercedes,2022 2023 2024 2025 2026,5
urba,47|mayores|,mercedes,47,mayores,"",exacto,institucion,1,Mercedes,Mercedes,2021 2022 2023 2024 2025 2026,6
urba,47|preintermedia|,mercedes,47,preintermedia,"",exacto,institucion,1,Mercedes,Mercedes,2024,1
urba,115|formativo|,ministerio-de-seguridad-caba,115,formativo,"",exacto,institucion,1,Ministerio de Seguridad CABA,Ministerio de Seguridad CABA,2024,2
urba,123|empresarial|,municipalidad-de-avellaneda,123,empresarial,"",exacto,institucion,1,Municipalidad de Avellaneda,Munic de Avellaneda,2022 2023,3
urba,123|empresarial|B,municipalidad-de-avellaneda,123,empresarial,B,exacto,institucion,1,Municipalidad de Avellaneda,Munic de Avellaneda B,2023,1
urba,123|femenino|,municipalidad-de-avellaneda,123,femenino,"",exacto,institucion,1,Municipalidad de Avellaneda,Munic de Avellaneda,2021 2022 2023 2025 2026,9
